2026-03-16 13:53:35 | INFO     | bank_credit_pipeline.sources.ifdata.get_report_data | Relatório 2, período=202506, tipo=2, página=3, linhas=10000
2026-03-16 13:53:35 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | Requisição (tentativa 1): https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='2'&$format=json&$top=10000&$skip=30000
2026-03-16 13:53:49 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | URL final enviada: https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='2'&$format=json&$top=10000&$skip=30000
2026-03-16 13:53:49 | INFO     | bank_credit_pipeline.sources.ifdata.get_report_data | Relatório 2, período=202506, tipo=2, página=4, linhas=2976
2026-03-16 13:53:49 | INFO     | bank_credit_pipeline.sources.ifdata.get_report_data | Relatório extraído: período=202506, tipo=2, relatório=2, linhas_totais=32976
2026-03-16 13:53:49 | INFO     | bank_credit_pipeline.probe |    32976 linhas, 10 colunas, tipo usado=2
2026-03-16 13:53:49 | INFO     | bank_credit_pipeline.probe |    Relatório 'passivo' (código=3)...
2026-03-16 13:53:49 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | Requisição (tentativa 1): https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='3'&$format=json&$top=10000
2026-03-16 13:54:06 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | URL final enviada: https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='3'&$format=json&$top=10000
2026-03-16 13:54:06 | INFO     | bank_credit_pipeline.sources.ifdata.get_report_data | Relatório 3, período=202506, tipo=2, página=1, linhas=10000
2026-03-16 13:54:06 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | Requisição (tentativa 1): https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='3'&$format=json&$top=10000&$skip=10000
2026-03-16 13:54:46 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | URL final enviada: https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataValores(AnoMes=@AnoMes,TipoInstituicao=@TipoInstituicao,Relatorio=@Relatorio)?@AnoMes=202506&@TipoInstituicao=2&@Relatorio='3'&$format=json&$top=10000&$skip=10000
2026-03-16 13:54:46 | INFO     | bank_credit_pipeline.sources.ifdata.get_report_data | Relatório 3, período=202506, tipo=2, página=2, linhas=10000
