CodInst,Data,NomeInstituicao,DataInicioAtividade,Tcb,Td,Tc,SegmentoTb,Atividade,Uf,Municipio,Sr,CodConglomeradoFinanceiro,CodConglomeradoPrudencial,CnpjInstituicaoLider,Situacao
07396258,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE ADRIANÓPOLIS - CRESOL ADRIANÓPOLIS,200508,B3S,I,2,Cooperativa de Crédito,,PR,Adrianópolis,,,,,I
07514202,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE ÁGUAS DE CHAPECÓ - CRESOL ÁGUAS DE CHAPECÓ,200508,B3S,I,2,Cooperativa de Crédito,,SC,Águas de Chapecó,,,,,I
12095687,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE ALTÔNIA - CRESOL ALTÔNIA,201008,B3S,I,2,Cooperativa de Crédito,,PR,Altônia,,,,,I
03066193,202506,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE AMPERE - CRESOL AMPERE,199906,B3S,I,2,Cooperativa de Crédito,,PR,Ampére,,,,,I
07016503,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE ARAPONGA - CRESOL ARAPONGA,200411,B3S,I,2,Cooperativa de Crédito,,MG,Araponga,S5,,,,I
03285967,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDARIA DE BARRACÃO   CRE$OL BARRACÃO,199908,B3S,I,2,Cooperativa de Crédito,,PR,Barracão,,,,,I
07312152,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE BELA VISTA DA CAROBA - CRESOL BELA VISTA DA CAROBA,200504,B3S,I,2,Cooperativa de Crédito,,PR,Bela Vista da Caroba,,,,,I
06115743,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE BOA VENTURA DE SÃO ROQUE - CRESOL BOA VENTURA DE SÃO ROQUE,200404,B3S,I,2,Cooperativa de Crédito,,PR,Boa Ventura de São Roque,,,,,I
04929712,202506,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE BOA VISTA-CRESOL BOA VISTA,200203,B3S,I,2,Cooperativa de Crédito,,RS,São Lourenço do Sul,,,,,I
08658915,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE BOM CONSELHO - CRESOL BOM CONSELHO,200705,B3S,I,2,Cooperativa de Crédito,,PE,Bom Conselho,,,,,I
04599400,202506,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE CAMPO NOVO-CRESOL CAMPO NOVO,200108,B3S,I,2,Cooperativa de Crédito,,RS,Campo Novo,,,,,I
03356447,202506,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE CANDOI - CRESOL CANDOI,199910,B3S,I,2,Cooperativa de Crédito,,PR,Candói,,,,,I
05132104,202506,COOPERATIVA DE CREDITO RURAL COM INTERAÇÃO SOLIDARIA DE CANGUÇU - CRESOL SUL,200207,B3S,I,2,Cooperativa de Crédito,,RS,Canguçu,S5,,,,I
01201006,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE CAPANEMA - CRESOL CAPANEMA,199605,B3S,I,2,Cooperativa de Crédito,,PR,Capanema,S5,,,,I
07407136,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE CASTRO - CRESOL CASTRO,200507,B3S,I,2,Cooperativa de Crédito,,PR,Castro,,,,,I
08239542,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE CERRO LARGO - CRESOL CERRO LARGO,200608,B3S,I,2,Cooperativa de Crédito,,RS,Cerro Largo,,,,,I
02511232,202506,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE CHOPINZINHO - CRESOL CHOPINZINHO,199805,B3S,I,2,Cooperativa de Crédito,,PR,Chopinzinho,,,,,I
08801139,202506,COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE CLEVELÂNDIA - CRESOL CLEVELÂNDIA,200707,B3S,I,2,Cooperativa de Crédito,,PR,Clevelândia,,,,,I
